Account ID,Account Name,Account Code,Description,Account Type,Mileage Rate,Mileage Unit,IsMileage,Account # ,Account Status,Currency,Parent Account
5827744000000090156,Cash - Fidelity Cash Management Account,1001-001,Fidelity Cash Management Account Number: Z40408059,Cash,0.000,,false,,Active,USD,
5827744000000090160,Family Capital,3001-000,,Equity,0.000,,false,,Active,USD,
5827744000000095215,Family Capital - MJFII,3001-000-001,,Equity,0.000,,false,,Active,USD,Family Capital
5827744000000095219,Family Capital - MEF,3001-000-002,,Equity,0.000,,false,,Active,USD,Family Capital
5827744000000090210,"Investment - Thorndykes, Inc.",1103-001,,Other Asset,0.000,,false,,Active,USD,
5827744000000100007,"Investment - Thorndykes, Inc. #1",1103-001-001,,Other Asset,0.000,,false,,Active,USD,"Investment - Thorndykes, Inc."
5827744000000090886,Investment - YC F24 Orange Fund,1103-002,,Other Asset,0.000,,false,,Active,USD,
5827744000000100013,Investment - YC F24 Orange Fund #1,1103-002-001,"F24 Orange Fund MK, EIN 33-3757854",Other Asset,0.000,,false,,Active,USD,Investment - YC F24 Orange Fund
5827744000000134003,Investment - YC F24 Orange Fund #2,1103-002-002,"F24 Orange Fund RC ML, EIN 33-3758296",Other Asset,0.000,,false,,Active,USD,Investment - YC F24 Orange Fund
5827744000000090892,Investment - Pirouette Medical Inc.,1103-004,,Other Asset,0.000,,false,,Active,USD,
5827744000000100019,Investment - Pirouette Medical Inc. #1,1103-004-001,,Other Asset,0.000,,false,,Active,USD,Investment - Pirouette Medical Inc.
5827744000000090944,Cash - Linqto Wallet,1001-002,,Cash,0.000,,false,,Active,USD,
5827744000000090968,Wire & Banking Fees,5001-003,,Expense,0.000,,false,,Active,USD,
5827744000000093056,Investment - Anthropic PBC,1103-003,,Other Asset,0.000,,false,,Active,USD,
5827744000000100025,Investment - Anthropic PBC #1,1103-003-001,,Other Asset,0.000,,false,,Active,USD,Investment - Anthropic PBC
5827744000000102033,Investment - Anthropic PBC - FMV Adjustment,1103-003-999,,Other Asset,0.000,,false,,Active,USD,Investment - Anthropic PBC
5827744000000094067,"Investment - Databricks, Inc.",1103-005,,Other Asset,0.000,,false,,Active,USD,
5827744000000100001,"Investment - Databricks, Inc. - #1",1103-005-001,,Other Asset,0.000,,false,,Active,USD,"Investment - Databricks, Inc."
5827744000000102025,"Investment - Databricks, Inc. - FMV Adjustment",1103-005-999,,Other Asset,0.000,,false,,Active,USD,"Investment - Databricks, Inc."
5827744000000098091,Investment - SpaceX,1103-006,,Other Asset,0.000,,false,,Active,USD,
5827744000000098097,Investment - SpaceX - #1,1103-006-001,,Other Asset,0.000,,false,,Active,USD,Investment - SpaceX
5827744000000098103,Investment - SpaceX - FMV Adjustment,1103-006-999,,Other Asset,0.000,,false,,Active,USD,Investment - SpaceX
5827744000000100121,Organization Expenses,5001-001,,Expense,0.000,,false,,Active,USD,
5827744000000100127,Subscription Fees,5001-002,,Expense,0.000,,false,,Active,USD,
5827744000000100265,Accounts Payable - Clearing,2001-001,,Other Current Liability,0.000,,false,,Active,USD,
5827744000000134181,Income - Equity Securities,4101-000,,Income,0.000,,false,,Active,USD,
5827744000000134203,Income - Interest,4002-000,,Income,0.000,,false,,Active,USD,
5827744000000135003,Unrealized Gain - Equity Baskets,4202-000,,Income,0.000,,false,,Active,USD,
5827744000000135009,Unrealized Gain - Water Investments,4202-001,,Income,0.000,,false,,Active,USD,Unrealized Gain - Equity Baskets
5827744000000095067,Unrealized Securities Gain - DNU,4010-000,,Income,0.000,,false,,Active,USD,Unrealized Gain - Water Investments
5827744000000135141,Income - Dividends,4001-000,,Income,0.000,,false,,Active,USD,
5827744000000090186,Income - Ordinary Dividends,4001-001,Dividend Income,Income,0.000,,false,,Active,USD,Income - Dividends
5827744000000134209,Income - Qualified Dividends,4001-002,,Income,0.000,,false,,Active,USD,Income - Dividends
5827744000000135191,Income - Investments,4103-000,,Income,0.000,,false,,Active,USD,
5827744000000134041,Income - YC F24 Orange Fund,4103-002,Income as stated on K1 from YC F24 Orange Fund,Income,0.000,,false,,Active,USD,Income - Investments
