Journal Date,Reference Number,Journal Number Prefix,Journal Number Suffix,Notes,Journal Type,Currency,Account,Description,Contact Name,Debit,Credit,Project Name,Status,Exchange Rate
2025-05-05,DIV-2025-05-05,MMW-,10001,"2025-05-05 Dividends - BX, JEPI, MUST",both,USD,Cash - Fidelity Cash Management Account,Dividend - BX,,13.41,,,published,
2025-05-05,DIV-2025-05-05,MMW-,10001,"2025-05-05 Dividends - BX, JEPI, MUST",both,USD,Cash - Fidelity Cash Management Account,Dividend - MUST,,2.61,,,published,
2025-05-05,DIV-2025-05-05,MMW-,10001,"2025-05-05 Dividends - BX, JEPI, MUST",both,USD,Cash - Fidelity Cash Management Account,Dividend - JEPI,,11.59,,,published,
2025-05-05,DIV-2025-05-05,MMW-,10001,"2025-05-05 Dividends - BX, JEPI, MUST",both,USD,Income - Ordinary Dividends,"Income - BX, JEPI, MUST",,,27.61,,published,
2025-05-06,DIV-2025-05-06,MMW-,10002,2025-05-06 Dividends - FERG,both,USD,Cash - Fidelity Cash Management Account,Dividend - FERG,,1.22,,,published,
2025-05-06,DIV-2025-05-06,MMW-,10002,2025-05-06 Dividends - FERG,both,USD,Income - Ordinary Dividends,Income - FERG,,,1.22,,published,
2025-05-07,DIV-2025-05-07,MMW-,10003,2025-05-07 Dividends - TLTW,both,USD,Cash - Fidelity Cash Management Account,Dividend - TLTW,,9.53,,,published,
2025-05-07,DIV-2025-05-07,MMW-,10003,2025-05-07 Dividends - TLTW,both,USD,Income - Ordinary Dividends,Income - TLTW,,,9.53,,published,
2025-05-23,DIV-2025-05-23,MMW-,10004,"2025-05-23 Dividends - CWT, SPYI",both,USD,Cash - Fidelity Cash Management Account,Dividend - CWT,,1.96,,,published,
2025-05-23,DIV-2025-05-23,MMW-,10004,"2025-05-23 Dividends - CWT, SPYI",both,USD,Cash - Fidelity Cash Management Account,Dividend - SPYI,,78.23,,,published,
2025-05-23,DIV-2025-05-23,MMW-,10004,"2025-05-23 Dividends - CWT, SPYI",both,USD,Income - Ordinary Dividends,"Income - CWT, SPYI",,,80.19,,published,
2025-05-27,DIV-2025-05-27,MMW-,10005,"2025-05-27 Dividends - KKR, QYLD, RYLD, XYLD",both,USD,Cash - Fidelity Cash Management Account,Dividend - QYLD,,30.14,,,published,
2025-05-27,DIV-2025-05-27,MMW-,10005,"2025-05-27 Dividends - KKR, QYLD, RYLD, XYLD",both,USD,Cash - Fidelity Cash Management Account,Dividend - RYLD,,30.16,,,published,
2025-05-27,DIV-2025-05-27,MMW-,10005,"2025-05-27 Dividends - KKR, QYLD, RYLD, XYLD",both,USD,Cash - Fidelity Cash Management Account,Dividend - XYLD,,20.12,,,published,
