settlement_date,action,symbol,security_name,quantity,price,amount,transaction_cost,basket,cost_basis
2025-09-29,You Sold,MUST,COLUMBIA ETF TR I MULTI SEC MUNI,49.000,20.442,1001.680,,10003,1004.350
2025-09-29,You Sold,MUST,COLUMBIA ETF TR I MULTI SEC MUNI,0.830,20.440,16.970,,10003,16.630
2025-09-29,You Bought,FDEM,FIDELITY EMERG MKTS MLTFT,0.118,29.810,3.520,,10007,
2025-09-29,You Bought,FDEM,FIDELITY EMERG MKTS MLTFT,67.000,29.798,1996.470,,10007,
2025-09-29,You Bought,FESM,FIDELITY ENHANCED SMALL CAP ETF,0.511,36.345,18.570,,10007,
2025-09-29,You Bought,FESM,FIDELITY ENHANCED SMALL CAP ETF,16.000,36.338,581.400,,10007,
2025-09-29,You Bought,FMDE,FIDELITY ENHANCED MID CAP ETF,0.797,35.999,28.690,,10007,
2025-09-29,You Bought,FMDE,FIDELITY ENHANCED MID CAP ETF,27.000,35.974,971.280,,10007,
2025-09-29,You Bought,FELC,FIDELITY ENHANCED LARGE CAP CORE ETF,0.052,37.025,1.930,,10007,
2025-09-29,You Bought,FELC,FIDELITY ENHANCED LARGE CAP CORE ETF,270.000,37.030,9998.070,,10007,
2025-09-29,You Bought,FDEV,FIDELITY INTL MULTIFACTOR,0.058,32.865,1.910,,10007,
2025-09-29,You Bought,FDEV,FIDELITY INTL MULTIFACTOR,1.000,32.865,32.870,,10007,
2025-09-29,You Bought,FDEV,FIDELITY INTL MULTIFACTOR,72.000,32.850,2365.230,,10007,
2025-09-29,You Bought,ONEQ,FIDELITY NASDAQ COMPOSITE INDEX ETF,0.361,88.255,31.860,,10007,
2025-09-29,You Bought,ONEQ,FIDELITY NASDAQ COMPOSITE INDEX ETF,45.000,88.180,3968.100,,10007,
2025-09-29,You Bought,QYLD,GLOBAL X FDS NASDAQ 100 COVER,0.615,16.915,10.400,,10003,
2025-09-29,You Bought,QYLD,GLOBAL X FDS NASDAQ 100 COVER,21.000,16.914,355.180,,10003,
2025-09-29,You Sold,RYLD,GLOBAL X FDS RUSSELL 2000,221.000,14.980,3310.600,,10003,3656.360
2025-09-29,You Sold,RYLD,GLOBAL X FDS RUSSELL 2000,0.842,14.985,12.620,,10003,12.420
2025-09-29,You Bought,XYLD,GLOBAL X FDS S&P 500 COVERED,0.200,39.115,7.820,,10003,
2025-09-29,You Bought,XYLD,GLOBAL X FDS S&P 500 COVERED,31.000,39.115,1212.570,,10003,
2025-09-29,You Bought,TLTW,ISHARES TR 20+ YEAR TR BD,0.223,23.215,5.180,,10003,
2025-09-29,You Bought,TLTW,ISHARES TR 20+ YEAR TR BD,3.000,23.214,69.640,,10003,
2025-09-29,You Bought,JEPI,J P MORGAN EXCHANGE TRADED FD EQUITY PREMIUM,0.290,56.895,16.500,,10003,
2025-09-29,You Bought,JEPI,J P MORGAN EXCHANGE TRADED FD EQUITY PREMIUM,10.000,56.895,568.950,,10003,
2025-09-29,You Bought,SPYI,NEOS ETF TRUST NEOS S&P 500 HI,0.288,52.065,14.990,,10003,
2025-09-29,You Bought,SPYI,NEOS ETF TRUST NEOS S&P 500 HI,40.000,52.065,2082.600,,10003,
