settlement_date,action,symbol,security_name,quantity,price,amount,transaction_cost,basket
2025-11-06,You Bought,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,42671.660,1.000,42671.660,,
2025-11-06,You Sold,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,42645.880,1.000,42645.880,,
2025-11-10,You Bought,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,42731.020,1.000,42731.020,,
2025-11-10,You Sold,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,42697.440,1.000,42697.440,,
2025-11-20,You Sold,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,4925.400,1.000,4925.400,,
2025-11-21,You Bought,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,1.960,1.000,1.960,,
2025-11-28,You Bought,APO,APOLLO GLOBAL MGMT INC COM,0.808,131.220,106.030,,10005
2025-11-28,You Bought,APO,APOLLO GLOBAL MGMT INC COM,1.000,131.180,131.180,,10005
2025-11-28,You Bought,BRKB,BERKSHIRE HATHAWAY INC COM USD0.0033 CLASS B,0.503,510.925,257.000,,10005
2025-11-28,You Bought,BRKB,BERKSHIRE HATHAWAY INC COM USD0.0033 CLASS B,1.000,510.907,510.910,,10005
2025-11-28,You Bought,BX,BLACKSTONE INC,0.929,145.800,135.450,,10005
2025-11-28,You Bought,BX,BLACKSTONE INC,2.000,145.830,291.660,,10005
2025-11-28,You Sold,FDRXX,FIDELITY GOVERNMENT CASH RESERVES,1887.690,1.000,1887.690,,
2025-11-28,You Bought,KKR,KKR &CO INC COM,0.240,122.103,29.300,,10005
2025-11-28,You Bought,L,LOEWS CORP COM USD0.01,0.944,108.735,102.650,,10005
2025-11-28,You Bought,L,LOEWS CORP COM USD0.01,4.000,108.770,435.080,,10005
