symbol,description,quantity,price,beginning_value,ending_value,cost_basis,unrealized_gain,change_from_prior_period
RYLD,GLOBAL X FDS RUSSELL 2000,203.623,14.510,2950.490,2954.560,3399.990,-445.430,4.070
XYLD,GLOBAL X FDS S&P 500 COVERED,51.691,38.300,1981.830,1979.760,2199.980,-220.220,-2.070
QYLD,GLOBAL X FDS NASDAQ 100 COVER,182.649,16.370,2977.170,2989.960,3399.990,-410.030,12.790
VEGI,ISHARES INC MSCI AGRICULTURE,10.676,39.791,401.090,424.810,399.980,24.830,23.720
JEPI,J P MORGAN EXCHANGE TRADED FD EQUITY PREMIUM,23.744,56.090,1319.920,1331.800,1400.000,-68.200,11.880
SPYI,NEOS ETF TRUST NEOS S&P 500 HI,154.514,49.020,7296.150,7574.270,7999.960,-425.690,278.120
MUST,COLUMBIA ETF TR I MULTI SEC MUNI,48.783,20.000,980.530,975.660,1000.000,-24.340,-4.870
TLTW,ISHARES TR 20+ YEAR TR BD,25.407,22.860,600.870,580.800,599.990,-19.190,-20.070
CWCO,CONSOLIDATED WATER CO LTD,19.186,27.030,445.880,518.590,499.990,18.600,72.710
ALCO,ALICO INC,7.630,32.250,217.760,246.060,199.980,46.080,28.300
AWK,AMERICAN WATER WORKS COMPANY INC COM USD0.01,4.239,142.970,623.170,606.040,599.960,6.080,-17.130
APO,APOLLO GLOBAL MGMT INC COM,5.860,130.690,799.770,765.840,879.920,-114.080,-33.930
BRKB,BERKSHIRE HATHAWAY INC COM USD0.0033 CLASS B,10.928,503.960,5827.350,5507.270,5499.910,7.360,-320.080
BX,BLACKSTONE INC,14.422,138.760,1899.520,2001.190,2309.850,-308.660,101.670
CWT,CALIFORNIA WATER SERVICE GROUP,6.523,47.250,330.380,308.210,349.980,-41.770,-22.170
ECL,ECOLAB INC,1.920,265.620,482.740,509.990,499.910,10.080,27.250
FERG,FERGUSON ENTERPRISES INC COM,1.465,182.340,248.550,267.120,299.960,-32.840,18.570
GWRS,GLOBAL WTR RES INC COM ISIN #US3794631024 SEDOL #BD31884,7.556,10.150,78.800,76.690,99.990,-23.300,-2.110
KKR,KKR &CO INC COM,8.149,121.460,931.180,989.770,1099.950,-110.180,58.590
L,LOEWS CORP COM USD0.01,6.422,89.290,557.620,573.420,550.000,23.420,15.800
TPG,TPG INC COM CL A,11.880,48.130,551.820,571.780,659.970,-88.190,19.960
WAT,WATERS CORP,0.713,349.240,247.930,249.000,249.660,-0.660,1.070
XYL,XYLEM INC COM USD0.01,3.354,126.040,404.390,422.730,449.980,-27.250,18.340
FPI,FARMLAND PARTNERS INC COM,54.544,11.320,548.710,617.430,599.990,17.440,68.720
LAND,GLADSTONE LD CORP COM,55.708,9.885,553.180,550.670,742.190,-191.520,-2.510
