symbol,description,quantity,price,beginning_value,ending_value,cost_basis,unrealized_gain
SPAXX,FIDELITY GOVERNMENT MONEY MARKET,161.440,1.000,166.980,161.440,,
FDRXX,FIDELITY GOVERNMENT CASH RESERVES,10334.050,1.000,10106.920,10334.050,,
RYLD,GLOBAL X FDS RUSSELL 2000,203.623,14.690,3036.010,2991.220,3399.990,-408.770
XYLD,GLOBAL X FDS S&P 500 COVERED,51.691,38.900,2012.840,2010.770,2199.980,-189.210
QYLD,GLOBAL X FDS NASDAQ 100 COVER,182.649,16.750,3053.890,3059.370,3399.990,-340.620
VEGI,ISHARES INC MSCI AGRICULTURE,10.676,40.494,429.700,432.310,399.980,32.330
JEPI,J P MORGAN EXCHANGE TRADED FD EQUITY PREMIUM,23.744,56.480,1349.840,1341.060,1400.000,-58.940
SPYI,NEOS ETF TRUST NEOS S&P 500 HI,154.514,50.920,7775.140,7867.850,7999.960,-132.110
MUST,COLUMBIA ETF TR I MULTI SEC MUNI,48.783,19.990,981.510,975.170,1000.000,-24.830
TLTW,ISHARES TR 20+ YEAR TR BD,25.407,22.820,588.930,579.780,599.990,-20.210
CWCO,CONSOLIDATED WATER CO LTD,19.186,29.090,575.960,558.120,499.990,58.130
ALCO,ALICO INC,7.630,32.280,249.340,246.290,199.980,46.310
AWK,AMERICAN WATER WORKS COMPANY INC COM USD0.01,4.239,140.240,589.680,594.470,599.960,-5.490
APO,APOLLO GLOBAL MGMT INC COM,5.860,145.320,831.350,851.570,879.920,-28.350
BRKB,BERKSHIRE HATHAWAY INC COM USD0.0033 CLASS B,10.928,471.880,5308.490,5156.700,5499.910,-343.210
BX,BLACKSTONE INC,14.422,172.960,2157.240,2494.420,2309.850,184.570
CWT,CALIFORNIA WATER SERVICE GROUP,6.523,45.470,296.660,296.600,349.980,-53.380
ECL,ECOLAB INC,1.920,261.760,517.320,502.570,499.910,2.660
FERG,FERGUSON ENTERPRISES INC COM,1.465,223.330,319.000,327.170,299.960,27.210
GWRS,GLOBAL WTR RES INC COM,7.556,9.550,76.990,72.150,99.990,-27.840
KKR,KKR &CO INC COM,8.149,146.580,1084.060,1194.480,1099.950,94.530
L,LOEWS CORP COM USD0.01,6.422,90.540,588.640,581.440,550.000,31.440
TPG,TPG INC COM CL A,11.880,57.070,623.100,677.990,659.970,18.020
WAT,WATERS CORP,0.713,288.760,248.860,205.880,249.660,-43.780
XYL,XYLEM INC COM USD0.01,3.354,144.620,433.870,485.050,449.980,35.070
FPI,FARMLAND PARTNERS INC COM,54.544,10.470,627.800,571.070,599.990,-28.920
LAND,GLADSTONE LD CORP COM,55.708,9.200,566.550,512.510,742.190,-229.680
